id,ingrediente,cantidadDisponible
178,Capicola - Hot,68
179,"Corn - Cream, Canned",51
180,"Oranges - Navel, 72",65
181,Veal - Nuckle,99
182,Beets - Golden,56
183,"Wine - White, Riesling, Semi - Dry",50
184,Fondant - Icing,6
185,"Nut - Walnut, Chopped",9
186,Straw - Regular,19
187,Mussels - Frozen,3
188,"Bread - White, Sliced",38
189,Blueberries - Frozen,5
190,Wine - Carmenere Casillero Del,69
191,Versatainer Nc - 8288,32
192,Coffee - Decafenated,64
193,Foam Espresso Cup Plain White,99
194,Oxtail - Cut,27
195,Coffee Cup 8oz 5338cd,10
196,Cake - Mini Potato Pancake,94
197,Cheese - Camembert,57
198,Bread - English Muffin,26
199,"Nut - Pine Nuts, Whole",80
200,"Chicken - Base, Ultimate",56
201,"Bread - Crumbs, Bulk",6
202,Wine - Puligny Montrachet A.,33
203,Cheese - Perron Cheddar,38
204,"Soup - Cream Of Broccoli, Dry",32
205,Coffee - Almond Amaretto,3
206,Bag Clear 10 Lb,24
207,"Tomatoes - Cherry, Yellow",70
208,Beer - Sleemans Honey Brown,66
209,Ecolab - Hobart Upr Prewash Arm,20
210,Steel Wool S.o.s,28
211,Pepper - Gypsy Pepper,91
212,Latex Rubber Gloves Size 9,30
213,Swiss Chard,58
214,"Bread - Multigrain, Loaf",27
215,Milk Powder,100
216,Soup Campbells,74
217,Berry Brulee,63
218,Onion Powder,69
219,Veal - Bones,8
220,"Bread - Pita, Mini",47
221,Beer - Mcauslan Apricot,53
222,"Wine - Sherry Dry Sack, William",48
223,Lettuce Romaine Chopped,95
224,Potatoes - Parissienne,99
225,Pork Salted Bellies,96
226,Cookie - Oatmeal,13
227,Pork - Caul Fat,74
228,Almonds Ground Blanched,65
229,Bamboo Shoots - Sliced,88
230,"Vodka - Lemon, Absolut",49
231,"Soup - Clam Chowder, Dry Mix",92
232,Thyme - Fresh,47
233,Muffin Carrot - Individual,95
234,Pastry - Raisin Muffin - Mini,34
235,Ice Cream - Chocolate,56
236,"Potatoes - Purple, Organic",80
237,Soup - Campbells Chili Veg,56
238,Tequila - Sauza Silver,59
239,Coffee Decaf Colombian,57
240,Coffee - Egg Nog Capuccino,56
241,Garbage Bag - Clear,38
242,Dry Ice,90
243,Tequila Rose Cream Liquor,6
244,Rabbit - Frozen,76
245,Pastry - French Mini Assorted,27
246,Steam Pan Full Lid,40
247,Petite Baguette,57
248,Oil - Cooking Spray,30
249,Dates,74
250,Pepper - Green,83
251,Soupfoamcont12oz 112con,91
252,Appetizer - Veg Assortment,83
253,Mushroom Morel Fresh,61
254,"Apple - Delicious, Golden",100
255,Jolt Cola - Red Eye,82
256,Cardamon Ground,47
257,Cheese - Camembert,3
258,Chocolate Liqueur - Godet White,22
259,Black Currants,98
260,Flour Dark Rye,15
261,Oregano - Fresh,34
262,Squash - Pepper,34
263,Sterno - Chafing Dish Fuel,35
264,Appetizer - Crab And Brie,92
265,Coffee Swiss Choc Almond,9
266,"Vermacelli - Sprinkles, Assorted",5
267,"Pasta - Fett Alfredo, Single Serve",42
268,"Soup - Campbells, Butternut",48
269,Garlic,71
270,Peas - Frozen,96
271,Sorrel - Fresh,51
272,"Chicken - Leg, Boneless",54
273,Arizona - Green Tea,19
274,Juice - Orange 1.89l,6
275,Food Colouring - Orange,40
276,French Kiss Vanilla,17
277,Mcgillicuddy Vanilla Schnap,37
278,"Soup - Knorr, Country Bean",22
279,Quail - Jumbo Boneless,98
280,Wasabi Powder,85
281,Garlic Powder,98
282,Grand Marnier,77
283,"Bread - Roll, Italian",54
284,"Shrimp - 16/20, Peeled Deviened",25
285,Pastry - Lemon Danish - Mini,59
286,Cheese - Brick With Pepper,91
287,Pecan Raisin - Tarts,49
288,Muffin - Blueberry Individual,39
289,Duck - Legs,82
290,Bread - Triangle White,12
291,"Cheese - Woolwich Goat, Log",35
292,Radish,56
293,Wine - Beaujolais Villages,72
294,"Mushroom - Trumpet, Dry",23
295,Soup Campbells Beef With Veg,84
296,Kiwi,90
297,Cheese - Sheep Milk,57
298,Bread - Bistro White,14
299,Pur Source,52
300,Wine - Semi Dry Riesling Vineland,95
301,Muffin Batt - Choc Chk,43
302,Pepper - Gypsy Pepper,31
303,Energy Drink - Franks Pineapple,11
304,"Coffee - Beans, Whole",91
305,Wine - Fino Tio Pepe Gonzalez,93
306,Beef - Ground Lean Fresh,6
307,Wine - Taylors Reserve,82
308,Beer - True North Lager,51
309,Remy Red,6
310,Cut Wakame - Hanawakaba,48
311,Curry Paste - Madras,31
312,"Soup - Cream Of Broccoli, Dry",89
313,Wine - Gato Negro Cabernet,70
314,"Sole - Dover, Whole, Fresh",95
315,Cake - Mini Potato Pancake,36
316,Wine - Rubyport,37
317,"Pasta - Rotini, Dry",90
318,Wooden Mop Handle,77
319,Table Cloth 81x81 Colour,40
320,"Flour - Bran, Red",83
321,Chocolate - Milk Coating,7
322,Juice Peach Nectar,49
323,"Veal - Chops, Split, Frenched",34
324,Nantucket - Carrot Orange,22
325,"Coffee - Colombian, Portioned",26
326,"Pasta - Bauletti, Chicken White",100
327,Soup - Campbellschix Stew,35
328,"Cookies - Oreo, 4 Pack",52
329,Pastry - Butterscotch Baked,5
330,Sauce - Salsa,87
331,Kirsch - Schloss,80
332,"Soup - Knorr, Veg / Beef",82
333,"Rum - Dark, Bacardi, Black",94
334,Crackers - Trio,46
335,Oil - Margarine,68
336,Beer - Pilsner Urquell,35
337,Container - Clear 16 Oz,54
338,Huck Towels White,60
339,Pepper Squash,39
340,Cabbage - Red,80
341,Veal - Nuckle,68
342,Sugar - Fine,89
343,"Beans - Turtle, Black, Dry",2
344,Red Pepper Paste,35
345,Cheese - Perron Cheddar,38
346,Ginger - Fresh,63
347,Wine - Placido Pinot Grigo,16
348,Bread - French Baquette,18
349,Roe - Flying Fish,74
350,Parsley - Fresh,68
351,Wine - Cava Aria Estate Brut,27
352,Vinegar - Rice,63
353,Pie Shell - 9,84
354,Danishes - Mini Raspberry,56
355,"Gin - Gilbeys London, Dry",81
356,Rambutan,80
357,Rum - Mount Gay Eclipes,25
358,"Pepper - Black, Ground",89
359,Vinegar - Red Wine,92
360,Container Clear 8 Oz,50
361,Pepper Squash,66
362,"Nut - Pine Nuts, Whole",28
363,Mountain Dew,32
364,"Wine - White, Ej",32
365,Chicken - Bones,99
366,Vacuum Bags 12x16,79
367,Sorrel - Fresh,33
368,Water - Evian 355 Ml,50
369,"Beef - Cooked, Corned",16
370,Bread Fig And Almond,83
371,Paper Towel Touchless,42
372,"Bread - Bagels, Mini",39
373,"Beets - Candy Cane, Organic",82
374,Juice - Prune,40
375,"Juice - V8, Tomato",74
376,Toamtoes 6x7 Select,65
377,Skirt - 24 Foot,7
378,"Soup - Campbells, Beef Barley",36
379,Cauliflower,100
380,Muffin Batt - Choc Chk,45
381,"Juice - Clamato, 341 Ml",8
382,Napkin White - Starched,52
383,Vinegar - Raspberry,47
384,Tequila - Sauza Silver,8
385,Salmon Steak - Cohoe 6 Oz,88
386,Coffee - Frthy Coffee Crisp,32
387,Carbonated Water - Lemon Lime,46
388,"Beef - Cooked, Corned",10
389,Maple Syrup,83
390,"Schnappes - Peach, Walkers",43
391,Ecolab - Hand Soap Form Antibac,71
392,Filling - Mince Meat,1
393,Apple - Macintosh,42
394,Mousse - Banana Chocolate,91
395,Sauce - Chili,45
396,"Pail - 4l White, With Handle",96
397,Sweet Pea Sprouts,64
398,Chips - Potato Jalapeno,21
399,Chocolate Eclairs,77
400,Muffin Chocolate Individual Wrap,27
401,Hagen Daza - Dk Choocolate,25
402,Oil - Coconut,30
403,Bacardi Mojito,84
404,Island Oasis - Strawberry,22
405,"Mushroom - Enoki, Fresh",92
406,Beef Flat Iron Steak,83
407,"Soup - Knorr, Chicken Gumbo",79
408,Flower - Commercial Spider,24
409,Pastry - Choclate Baked,67
410,Lettuce - Iceberg,10
411,Fruit Salad Deluxe,20
412,Basil - Seedlings Cookstown,22
413,Towel - Roll White,30
414,Squid - U 5,66
415,"Wine - White, Lindemans Bin 95",15
416,Tea Peppermint,45
417,Calypso - Pineapple Passion,47
418,"Wine - White, Lindemans Bin 95",86
419,Cake - Cake Sheet Macaroon,78
420,Guinea Fowl,32
421,Sauce - Ranch Dressing,92
422,"Sugar - Sweet N Low, Individual",25
423,Fudge - Chocolate Fudge,69
424,Taro Root,45
425,Kippers - Smoked,5
426,Beer - Guiness,31
427,Easy Off Oven Cleaner,41
428,Propel Sport Drink,84
429,"Rice Pilaf, Dry,package",48
430,Milk - Condensed,5
431,Mushroom - King Eryingii,16
432,Tea - Herbal I Love Lemon,20
433,Dried Peach,91
434,"Tart Shells - Barquettes, Savory",25
435,Ecolab - Balanced Fusion,2
436,Grenadine,61
437,Napkin White,71
438,Pie Shells 10,38
439,"Pasta - Orzo, Dry",100
440,Dragon Fruit,4
441,Bread - Rosemary Focaccia,41
442,Basil - Pesto Sauce,65
443,Tea - Herbal I Love Lemon,58
444,Ginger - Crystalized,80
445,Nut - Macadamia,16
446,Table Cloth 53x69 White,27
447,Dill Weed - Fresh,53
448,"Bread - Roll, Calabrese",58
449,Beef - Rib Eye Aaa,9
450,Lotus Leaves,69
451,"Beef - Ox Tail, Frozen",99
452,Beans - Kidney White,39
453,Campari,93
454,Beer - Pilsner Urquell,26
455,"Pepper - Green, Chili",94
456,Gelatine Leaves - Envelopes,37
457,Bread - Pita,55
458,Buffalo - Short Rib Fresh,26
459,Chicken Thigh - Bone Out,80
460,Coffee - Decafenated,33
461,Ecolab Silver Fusion,21
462,Alize Sunset,51
463,Sour Puss Sour Apple,40
464,"Salmon - Atlantic, No Skin",30
465,Compound - Passion Fruit,20
466,Pepper - Orange,9
467,Wine - Prosecco Valdobienne,22
468,Bagel - Everything,6
469,"Chicken - Wings, Tip Off",39
470,Wine - Gewurztraminer Pierre,33
471,Lettuce - Treviso,94
472,Flavouring - Rum,70
473,Sauce - Oyster,29
474,Veal Inside - Provimi,74
475,Bread - Petit Baguette,52
476,Milk - Homo,35
477,Lotus Leaves,73
478,Wine - Rosso Toscano Igt,3
479,Chicken Thigh - Bone Out,93
480,Muffin - Banana Nut Individual,39
481,Evaporated Milk - Skim,71
482,Butter Balls Salted,54
483,"Pasta - Canelloni, Single Serve",92
484,"Bread - Bagels, Plain",72
485,The Pop Shoppe Pinapple,15
486,Creme De Banane - Marie,2
487,Tea - Orange Pekoe,77
488,Sauce - Chili,62
489,Coffee Beans - Chocolate,41
490,Flavouring - Rum,55
491,Bread - French Baquette,97
492,Ecolab - Medallion,65
493,Chick Peas - Dried,75
494,Crush - Cream Soda,70
495,Yucca,69
496,Beef - Texas Style Burger,65
497,Icecream - Dibs,62
498,Cheese - Wine,2
499,"Cheese - Boursin, Garlic / Herbs",59
500,Onions Granulated,38
501,"Pasta - Elbows, Macaroni, Dry",14
502,"Turkey - Whole, Fresh",39
503,Potatoes - Pei 10 Oz,94
504,Duck - Whole,31
505,"Shrimp - 16/20, Peeled Deviened",37
506,Wine - Cabernet Sauvignon,93
507,Energy - Boo - Koo,34
508,Chips Potato Reg 43g,86
509,Onions - Cooking,3
510,Soap - Hand Soap,33
511,Dates,93
512,Fiddlehead - Frozen,78
513,Sauce - Hp,67
514,Yogurt - French Vanilla,9
515,Cookies - Assorted,99
516,"Lentils - Green, Dry",59
517,Canadian Emmenthal,40
518,Wine - Magnotta - Belpaese,2
519,"Onions - Dried, Chopped",20
520,Pepper - Orange,78
521,"Mushroom - Enoki, Fresh",92
522,Cup - Translucent 7 Oz Clear,79
523,"Syrup - Monin, Amaretta",28
524,Wine - Balbach Riverside,38
525,Chervil - Fresh,24
526,Bread - Raisin Walnut Oval,44
527,Dill Weed - Dry,81
528,Foam Tray S2,15
529,Apricots Fresh,54
530,Veal - Sweetbread,44
531,Fennel,40
532,Arrowroot,40
533,"Beans - Black Bean, Dry",52
534,Bag - Clear 7 Lb,79
535,Tofu - Firm,25
536,Sugar - Palm,59
537,"Wine - Magnotta, Merlot Sr Vqa",28
538,"Bag - Bread, White, Plain",65
539,Fennel,50
540,Wine - Pinot Noir Latour,17
541,Wine - Cotes Du Rhone,17
542,Cheese - Perron Cheddar,94
543,"Pork - Sausage, Medium",96
544,Longos - Burritos,52
545,Liners - Baking Cups,99
546,Cornstarch,72
547,Ecolab - Mikroklene 4/4 L,42
548,"Doilies - 8, Paper",20
549,Chips - Potato Jalapeno,49
550,Compound - Rum,91
551,Celery Root,6
552,Ice Cream - Fudge Bars,21
553,Raisin - Dark,39
554,Mayonnaise,60
555,Chocolate - Feathers,40
556,"Coke - Classic, 355 Ml",56
557,Wine - Sauvignon Blanc,21
558,Beer - Camerons Auburn,50
559,Savory,93
560,Grapes - Green,59
561,"Jam - Blackberry, 20 Ml Jar",12
562,Tuna - Fresh,10
563,Sword Pick Asst,35
564,Jello - Assorted,16
565,Lid Coffeecup 12oz D9542b,69
566,Kellogs Raisan Bran Bars,23
567,Scallop - St. Jaques,45
568,Coffee - Cafe Moreno,40
569,Juice Peach Nectar,28
570,Coffee - Decaffeinato Coffee,85
571,Butter - Unsalted,12
572,Sausage - Andouille,50
573,Aspic - Amber,83
574,"Soda Water - Club Soda, 355 Ml",39
575,Water Chestnut - Canned,46
576,Island Oasis - Mango Daiquiri,64
577,Muffin - Bran Ind Wrpd,24
578,Longos - Penne With Pesto,98
579,Seabream Whole Farmed,12
580,Wine - Spumante Bambino White,43
581,Carbonated Water - Cherry,59
582,Wine - Magnotta - Belpaese,52
583,"Soup - Knorr, Veg / Beef",49
584,Pastry - French Mini Assorted,25
585,"Bread - Roll, Calabrese",57
586,Venison - Striploin,42
587,"Oranges - Navel, 72",53
588,Macaroons - Homestyle Two Bit,18
589,Bagel - Plain,9
590,Sage Derby,100
591,Chivas Regal - 12 Year Old,60
592,Table Cloth 54x54 Colour,30
593,Pants Custom Dry Clean,2
594,Dates,100
595,Pasta - Agnolotti - Butternut,62
596,"Crab - Dungeness, Whole, live",11
597,Muffin - Blueberry Individual,5
598,Spic And Span All Purpose,38
599,Wine - Pinot Noir Mondavi Coastal,15
600,Arizona - Plum Green Tea,43
601,Temperature Recording Station,36
602,"Chilli Paste, Ginger Garlic",24
603,Eggroll,54
604,Coffee - Almond Amaretto,87
605,"Radish - Black, Winter, Organic",41
606,Rosemary - Fresh,78
607,"Cherries - Bing, Canned",67
608,Cheese - Brick With Pepper,88
609,"Wine - Harrow Estates, Vidal",11
610,Gatorade - Lemon Lime,22
611,Bread Cranberry Foccacia,17
612,Wine - Wyndham Estate Bin 777,65
613,Cheese - Brick With Pepper,9
614,Wine - Balbach Riverside,6
615,Pork - Bones,70
616,Appetizer - Chicken Satay,2
617,Sugar - Palm,13
618,Soup - Campbells Mushroom,76
619,"Soup - Knorr, Classic Can. Chili",12
620,Pear - Halves,7
621,Island Oasis - Pina Colada,3
622,"Orange - Canned, Mandarin",19
623,Sugar - Icing,46
624,"Mop Head - Cotton, 24 Oz",57
625,Drambuie,37
626,"Juice - Orange, 341 Ml",31
627,Coffee - Frthy Coffee Crisp,23
628,Sugar Thermometer,11
629,Yokaline,84
630,Carbonated Water - Cherry,44
631,Soup - Campbells Beef Stew,48
632,Soupcontfoam16oz 116con,76
633,Pate - Liver,11
634,Cookie Trail Mix,49
635,Lemon Pepper,47
636,Potatoes - Idaho 100 Count,24
637,Pastry - Banana Muffin - Mini,14
638,"Tarragon - Primerba, Paste",57
639,"Artichoke - Bottom, Canned",92
640,Coffee Beans - Chocolate,75
641,Flower - Potmums,40
642,Sugar - Palm,55
643,Carroway Seed,16
644,Dasheen,38
645,Sauce - Oyster,19
646,Cinnamon - Stick,51
647,Rappini - Andy Boy,53
648,Carbonated Water - Blackberry,93
649,Coffee Cup 12oz 5342cd,22
650,"Tart Shells - Sweet, 4",7
651,Venison - Ground,79
652,Chips - Assorted,54
653,Beef Flat Iron Steak,72
654,Cabbage - Savoy,35
655,Aspic - Clear,16
656,Miso - Soy Bean Paste,5
657,Artichoke - Fresh,16
658,Containter - 3oz Microwave Rect.,77
659,Tart - Pecan Butter Squares,49
660,Flour - All Purpose,70
661,Shopper Bag - S - 4,8
662,"Champagne - Brights, Dry",10
663,Wine - Soave Folonari,28
664,Pastry - Cheese Baked Scones,84
665,"Shrimp, Dried, Small / Lb",27
666,Eggwhite Frozen,50
667,Tomatoes - Roma,94
668,Boogies,92
669,Graham Cracker Mix,13
670,Salt - Kosher,18
671,"Pork - Bacon, Double Smoked",73
672,Latex Rubber Gloves Size 9,24
673,Ecolab - Power Fusion,49
674,"Basil - Primerba, Paste",14
675,Beef - Tender Tips,7
676,Pork - Shoulder,75
677,Cheese - Grana Padano,99
678,Garbag Bags - Black,45
679,Wine - Vidal Icewine Magnotta,27
680,Cheese - Taleggio D.o.p.,22
681,Soup - French Onion,64
682,"Cheese - Manchego, Spanish",58
683,Durian Fruit,44
684,Wine - Sawmill Creek Autumn,43
685,Puree - Pear,59
686,Butter - Pod,48
687,Oven Mitts 17 Inch,46
688,Mushroom - Portebello,54
689,"Wine - Mas Chicet Rose, Vintage",85
690,Tomatoes - Heirloom,93
691,Icecream Bar - Del Monte,86
692,Flax Seed,6
693,"Sauce - Gravy, Au Jus, Mix",53
694,Wine - Alicanca Vinho Verde,11
695,"Quail - Whole, Boneless",86
696,"Beans - Fava, Canned",100
697,Flour - Strong,79
698,Monkfish - Fresh,25
699,Grapes - Red,42
700,Ham Black Forest,88
701,Grouper - Fresh,11
702,Coffee Guatemala Dark,8
703,Cookies - Englishbay Chochip,51
704,Appetizer - Tarragon Chicken,58
705,Filling - Mince Meat,73
706,Tarragon - Fresh,33
707,Salt - Seasoned,24
708,"Plate - Foam, Bread And Butter",46
709,Snapple Lemon Tea,29
710,Vinegar - White Wine,28
711,Cookies - Assorted,84
712,Wine - Periguita Fonseca,28
713,Icecream - Dstk Strw Chseck,59
714,Goulash Seasoning,56
715,Bread - Corn Muffaletta,92
716,Bagel - Everything Presliced,83
717,Soup - Campbells Chili Veg,6
718,"Pork - Bacon, Sliced",83
719,"Bread - Roll, Canadian Dinner",18
720,Beer - Mcauslan Apricot,51
721,Vodka - Moskovskaya,36
722,Duck - Fat,24
723,Nantucket Pine Orangebanana,26
724,"Melon - Watermelon, Seedless",10
725,Nantucket - 518ml,85
726,Beer - Muskoka Cream Ale,9
727,Cake - Mini Cheesecake,17
728,Crab - Imitation Flakes,62
729,Cake Slab,35
730,Dasheen,63
731,Sugar - Individual Portions,32
732,Worcestershire Sauce,58
733,"Nut - Almond, Blanched, Whole",3
734,Yogurt - French Vanilla,49
735,External Supplier,43
736,"Liqueur Banana, Ramazzotti",35
737,Beer - Labatt Blue,2
738,Dikon,80
739,Beef Flat Iron Steak,74
740,Tomato - Tricolor Cherry,60
741,Soup - Tomato Mush. Florentine,3
742,Oil - Canola,31
743,"Yogurt - Cherry, 175 Gr",45
744,Apricots - Dried,21
745,Pork - Suckling Pig,3
746,Huck Towels White,11
747,Wine - White Cab Sauv.on,88
748,Garlic,42
749,Beer - Upper Canada Lager,46
750,"Oranges - Navel, 72",14
751,"Pepper - Chillies, Crushed",82
752,Bread - Italian Roll With Herbs,64
753,Hot Choc Vending,89
754,Flour Pastry Super Fine,33
755,Cheese - Camembert,72
756,"Soup - Campbells, Creamy",30
757,Emulsifier,97
758,Lemon Grass,95
759,Veal - Nuckle,10
760,"Gin - Gilbeys London, Dry",58
761,"Olives - Black, Pitted",65
762,Tuna - Salad Premix,16
763,Sea Urchin,20
764,Cheese - Cream Cheese,13
765,Milkettes - 2%,78
766,Bread Country Roll,18
767,"Yogurt - Raspberry, 175 Gr",95
768,Banana,49
769,Dried Cherries,17
770,Corn Meal,7
771,Coffee - Decaffeinato Coffee,85
772,Wine - Cabernet Sauvignon,16
773,Banana - Leaves,75
774,"Wine - Red, Pinot Noir, Chateau",65
775,"Club Soda - Schweppes, 355 Ml",55
776,Bread - Focaccia Quarter,18
777,Foam Dinner Plate,70
778,"Liners - Banana, Paper",6
779,Veal - Striploin,18
780,Fish - Bones,98
781,Coffee Decaf Colombian,45
782,"Bread - Pullman, Sliced",79
783,Miso - Soy Bean Paste,95
784,Table Cloth 90x90 White,81
785,Smoked Paprika,55
786,Icecream - Dibs,34
787,Wine - Stoneliegh Sauvignon,37
788,Wooden Mop Handle,32
789,Ham - Proscuitto,6
790,Jam - Raspberry,1
791,Whmis - Spray Bottle Trigger,55
792,Shallots,40
793,"Zucchini - Mini, Green",8
794,Teriyaki Sauce,92
795,Salad Dressing,84
796,"Bread - Roll, Canadian Dinner",98
797,Initation Crab Meat,4
798,Chives - Fresh,50
799,Veal - Bones,85
800,Sage - Rubbed,62
801,Muffin Batt - Choc Chk,75
802,Wine - Taylors Reserve,14
803,Oil - Safflower,43
804,Fork - Plastic,95
805,Muffin Chocolate Individual Wrap,33
806,Sprouts - China Rose,64
807,Eggplant - Asian,46
808,"Sauce - Soya, Light",51
809,Spice - Onion Powder Granulated,61
810,Pheasants - Whole,45
811,Lychee,56
812,Soup V8 Roasted Red Pepper,31
813,Buffalo - Tenderloin,98
814,Puff Pastry - Slab,80
815,Lidsoupcont Rp12dn,98
816,Sunflower Seed Raw,17
817,"Coffee - Beans, Whole",64
818,Wine - Barbera Alba Doc 2001,73
819,Chinese Foods - Cantonese,95
820,Danishes - Mini Raspberry,34
821,Shortbread - Cookie Crumbs,95
822,Tomatillo,74
823,Tea - Vanilla Chai,35
824,Ice Cream Bar - Hageen Daz To,14
825,Beef Wellington,94
826,Cape Capensis - Fillet,70
827,"Pineapple - Canned, Rings",17
828,"Soda Water - Club Soda, 355 Ml",32
829,Persimmons,5
830,Wine - Port Late Bottled Vintage,73
831,Broom And Brush Rack Black,14
832,"Pail - 15l White, With Handle",20
833,Glucose,18
834,Sage Ground Wiberg,14
835,Dasheen,69
836,Beans - Wax,22
837,Bread - French Stick,42
838,Wine - Conde De Valdemar,90
